======================================================================
Semantic Tag Audit Report — Gemini-powered
Generated: 2026-03-15 19:28:26
======================================================================

Total audited:  3194
Correct:        1946
Incorrect:      1248
API errors:     360

BY TAG:
  Tag              Total  Correct  Incorrect  Error%
  --------------------------------------------------
  animal             417      285        132   31.7%
  body               495      321        174   35.2%
  celestial          267      144        123   46.1%
  clothing           218      110        108   49.5%
  color              179      161         18   10.1%
  food               322      199        123   38.2%
  number             367       92        275   74.9%
  plant              292      224         68   23.3%
  speech             147      103         44   29.9%
  tool               238      114        124   52.1%
  water              252      193         59   23.4%

INCORRECT TAGS (to be removed):
  Headword                  Tag          Reason                                  
  kikaarik                  animal       It's a verb describing an action (giving
  kikak                     animal       It's a verb describing human emotion/act
  kipaar                    animal       It's an adjective describing a state of 
  kipiriir                  animal       It's an adjective describing a state (fr
  kiwak                     animal       The word describes an action (barking/ye
  kiwak [+ raar-]           animal       The word describes an action (barking), 
  kusaraat                  animal       The word describes an action (rubbing), 
  paaraar                   animal       This refers to the verb 'to hide' or 'to
  paaraar                   animal       This refers to the verb 'to hide' or 'to
  pahuksacaciks             animal       Buffalo gourd is a plant, not an animal.
  pakskatuus                animal       Flat-headed is an adjective describing a
  pakskiciis                animal       Bald head, bald-headed describes a chara
  pakskiraruuc              animal       Bald head describes a characteristic, no
  paraakahaʔ                animal       Horse-mint is a plant, not an animal. Th
  parihik                   animal       This describes a quality ('be sleek, smo
  parusasuʔ                 animal       Bush-clover, rabbit foot is a plant, not
  piicuuc                   animal       Needle grass is a plant, not an animal. 
  pira-                     animal       This describes a verb of action (raking,
  pirakus                   animal       This describes a state or quality (crook
  pirawiitik                animal       This describes a verb of action (twist, 
  raarawuh                  animal       This is a verb 'to fish,' not an animal 
  raaruuhc                  animal       This describes a state or quality (rusty
  raawiraraʔuk              animal       This is a verb 'to imitate.' 'As an anim
  racahiis                  animal       This describes a state or quality (rough
  racapirat                 animal       This is a verb 'to grate,' not an animal
  racapiraʔa                animal       This is a verb 'to scrape.' While 'hide'
  rahkatapiraʔa             animal       This is a verb 'to scrape.' While 'hide'
  rahuuparik                animal       This is a verb 'to send inside,' not an 
  rarariiruku               animal       A flashlight is an object, not an animal
  rariihuhkatakustaah       animal       This describes a verb phrase 'to be bran
  rat                       animal       The definition describes general verbs o
  raʔuk                     animal       The definition describes general verbs o
  riicawirikisa             animal       The definition describes a general verb 
  ripaaraar                 animal       'Hide' in this context means to conceal,
  rirahkaaʔat               animal       The definition describes a state of mind
  ruuwarii                  animal       The definition is a verb of motion/actio
  ruuʔat                    animal       The definition is a verb of transfer, no
  ruuʔat                    animal       The definition is a verb of motion, not 
  ta                        animal       The definition is a verb describing a st
  taahpiiraah               animal       The definition is a verb of carrying/pac
  taahpuh                   animal       The definition is a verb of packing, not
  taakakus                  animal       The definition is a verb describing a st
  taakis                    animal       The definition refers to a material deri
  taarikiihk                animal       The definition is a verb of action, not 
  taawiruus                 animal       The definition is an adjective describin
  tahurahcak                animal       The definition is a verb phrase, not an 
  takipuh                   animal       The definition is a verb describing an a
  takustaah                 animal       The definition is a verb of carrying, no
  takuusk                   animal       The definition is a verb of attachment, 
  taraka                    animal       The definition describes a state of bein
  taripas                   animal       The definition describes being short or 
  tawaas                    animal       The definition describes a skin conditio
  tawasiiraʔuk              animal       The definition describes an action (infl
  tawicak                   animal       The definition describes an action (tap,
  tawiitik                  animal       The definition describes an action (perc
  tiiriwis-                 animal       The definition describes a manner of car
  uhuraar                   animal       The definition describes a verb of motio
  uhuraaraʔuk               animal       The definition describes an action (imit
  uhuuriciriwisat           animal       The definition describes an action (pran
  uuhak                     animal       The definition describes a verb of motio
  uuspaa                    animal       The definition describes the growth of h
  uʔa                       animal       The definition describes a verb of motio
  uʔat                      animal       The definition describes a verb of motio
  waarukstiiraʔuk           animal       The definition describes an action (make
  wakta/taa                 animal       The definition describes making a noise;
  wararuus                  animal       The definition describes a quality (fuzz
  wiitik                    animal       The definition describes a verb of postu
  a (ir...) istuʔ           body         The definition describes a verb of motio
  aciks-                    body         refers to abstract mental concepts, not 
  aciksiciisat              body         refers to a mental state, not a physical
  acikskaaʔa                body         refers to mental actions, not physical b
  aciksta                   body         describes an action of care/observation,
  aciksuuwicaks             body         refers to mental actions/states, not phy
  apiic                     body         'body' refers to a mass of water, not a 
  apitaarahak               body         describes an action of movement/directio
  araawihiriʔ               body         describes a spatial relationship/locatio
  askawarik                 body         The definition is about trapping 'an ani
  askiiskatawicaku          body         Refers to 'buffalo tibia' and processing
  askiispatuʔ               body         Refers to 'elk antler' and processing hi
  at istuʔ                  body         The word 'back' here refers to direction
  atipahat                  body         The main meaning is a type of bean (plan
  awarii                    body         This is a verb of motion, not a body par
  awarik                    body         These are verbs of action, not body part
  awiciihkuk                body         These are verbs of action, not body part
  awiicawatkaʔiir           body         The main meaning is the action of throwi
  awiiraarik                body         This is a positional verb, not a body pa
  awiirahiriʔ               body         This is a preposition/adverb of location
  awiirakus                 body         This is a positional verb, not a body pa
  awiirasa                  body         This is a positional verb, not a body pa
  awiiraʔat                 body         These are verbs of motion/position, not 
  awikatahak                body         These are verbs of motion, not body part
  awikatahak                body         These are verbs of motion, not body part
  awikiickawarik            body         The main meaning is the action of roping
  awitawaruk                body         The main meaning is about being fast/ade
  caakarikuk                body         'nail' here refers to a metal fastener, 
  caakawiʔuʔ                body         'nail' here refers to a metal fastener, 
  caapiʔuʔ                  body         'foot-bridge' refers to a type of bridge
  cawihaaruʔ                body         The main meaning is an object ('pillow')
  ckahiikaraʔuks            body         'wash basin' is an object, not a body pa
  ckapicistuukus            body         'face powder' is a cosmetic product, not
  ckataahisiku              body         'towel' is an object, not a body part, e
  cuskatit                  body         The main meaning is a type of horse (an 
  haakatawuh                body         This is a verb of transfer, not an actio
  haaskiihkaʔuuc/uc-        body         This describes actions of lacing/tying o
  haawatiihus               body         Coil, wire, and spring are objects/shape
  hariicapaat               body         The main meaning is a female calf (an an
  hariikis                  body         The main meaning is a calf (an animal), 
  hariipahat                body         The main meaning is an unborn calf/fetus
  hariirahkata              body         The main meaning is a newborn calf (an a
  hariiʔuʔ                  body         The word 'calf' refers to a young animal
  hariwiita                 body         The word 'calf' refers to a young animal
  hatuhkat                  body         'Rear' in this context refers to a spati
  hawaastatkiicuʔ           body         The definition refers to 'chewing gum', 
  hirasat                   body         'Head' is used metaphorically for 'front
  hirasiriʔ                 body         'Head' is used metaphorically for 'front
  huhkakusuʔ                body         'Sole' refers to a part of a moccasin, n
  hukahaaruʔ                body         'Bottom' refers to a geographical area, 
  hukaka-                   body         'Bottom', 'base', 'foot' refer to spatia
  hukakaa-                  body         'Bottom', 'base', 'foot' refer to spatia
  hukakaawihiriʔ            body         'Bottom', 'base', 'foot' refer to spatia
  hurarii                   body         'Foot', 'base', 'bottom' refer to parts 
  huurickahiriʔ             body         'head' is used metaphorically to mean 'f
  huurickakus               body         'head' is used metaphorically to mean 'f
  icahpuh                   body         'side' refers to the side of an object o
  icakaraʔuk                body         No body parts are mentioned or implied i
  icakawat                  body         No body parts are mentioned or implied; 
  icawatkaʔiir              body         The definition describes draping over an
  icawicparik               body         'eye up and down' uses 'eye' as a verb o
  ickawiitik                body         'face' is used as a verb of orientation 
  ikiraahak                 body         This is a general verb of motion ('turn,
  iksapitaarahak            body         The action is 'turn on, as a knob on an 
  iksas                     body         This describes a 'toothed-edge scraper',
  iraaha                    body         The word 'side' here refers to a general
  iraahawi-                 body         The word 'side' here refers to a general
  iraahawuh                 body         The word 'side' here refers to the side 
  iriirakaahuraahkatiitu    body         The word 'side' here refers to a cardina
  iriirakaahuraahkatiituhat body         The word 'side' here refers to a cardina
  iripiitik                 body         The word 'side' here refers to a general
  iritkat                   body         The word 'side' here refers to the side 
  iriwiraahak               body         The word 'side' here refers to a general
  istuʔ                     body         The word 'back' here refers to returning
  iwiitk                    body         The word 'back' here refers to holding s
  kaackawuh                 body         The word 'back' here refers to looking i
  kaackawuh                 body         The word 'back' here refers to looking i
  kaata-                    body         "back of" refers to spatial position, no
  kaatahaahiriʔ             body         "back of" refers to spatial position, no
  kaatakus                  body         "back" refers to spatial position, not t
  kaatasa                   body         "back" refers to spatial position, not t
  kaataʔiisat               body         "back" refers to spatial position, not t
  kactawaas                 body         Refers to a plant, not a body part.     
  karahkaac                 body         Refers to an animal, not a body part.   
  karusik                   body         "back down" is a metaphorical verb, not 
  karuus                    body         "back down" is a metaphorical verb, not 
  karuusaʔiwarik            body         "back down" is metaphorical; "weaken res
  katahak                   body         "back" refers to spatial direction, not 
  katahkaa                  body         Refers to orientation, not a body part. 
  katahkaa-                 body         Refers to orientation, not a body part. 
  katasa                    body         "side of" refers to spatial position, no
  katawiitik                body         Describes a behavioral state, not a body
  katiihaks-                body         "side by side" refers to spatial arrange
  kicpaktaarik              body         The primary meaning describes sounds and
  kicuuciriik               body         The action 'scrape, peel off' is applied
  kiicahiihtuʔ              body         Describes a substance ('grease, oil, ren
  kiiriks                   body         Describes a general physical quality ('s
  kiisiriwisisuʔ, kiisiriwi body         Describes a tool ('gorge, fishhook') tha
  kiiskatariwis             body         Describes a tool ('gorge, fishhook') tha
  kiispaktaahus             body         Describes a tool ('whistle') that is mad
  kiispatuʔ                 body         Describes a tool ('fishhook'), not a bod
  kiiwaʔutkaatiit           body         Black sage is a plant, not a body part. 
  kipaasiʔuʔ                body         A fan is an object, not a body part.    
  kirihcisuʔ                body         A sweat lodge is a structure, not a body
  kirikskaʔiituʔ            body         A beaded strip is an object, not a body 
  kirikskiic                body         A bead or hair-pipe is an object, not a 
  kirikskiisuʔ              body         A bone bead or hairpipe is an artifact, 
  kiriktaarawarii           body         Looking around or eyeing things are verb
  kiripiitik                body         To eye, look at, or fix one's eyes on ar
  ksawaahakus, ksawaahaku   body         Hired hand uses 'hand' metaphorically fo
  kusaksiihaahiriʔ          body         Describes a location/direction ('on the 
  kuuskituuwikus            body         Describes a spatial relationship ('side 
  paahawihiriʔ              body         Describes a location/position ('on the s
  paahawikat                body         Describes a position ('on its side'), no
  paapiciscaakawiʔuʔ        body         'Metal nail' refers to a fastener, not a
  pakspahat                 body         Refers to an animal (horse), not a human
  parihik                   body         Describes general qualities that can app
  parusasuʔ                 body         Refers to a plant, not a human body part
  piraarik                  body         Describes the state of an object (paper)
  pirakus                   body         Describes general shapes/states, not exc
  raakaaʔa                  body         Refers to cognitive/mental processes, no
  raakiriktawiʔat           body         Describes an action of perception/assess
  raakiwat                  body         Refers to actions of planning/scheduling
  raarirahaar               body         Refers to a general spatial concept ('ge
  raawiiʔat                 body         Refers to general actions of assistance,
  raaʔukta                  body         "by blood" is metaphorical for lineage, 
  rahkiwir                  body         Refers to food preparation, not the body
  rihik                     body         Refers to quantity ("one"), not a body p
  riikskipiriiruʔ           body         Refers to a part of a plant ("ear of cor
  riiksuʔ                   body         Refers to a part of a plant ("ear of cor
  riisahkitawi              body         "Head" is used metaphorically to mean "l
  riisahkitawiʔuʔ           body         "Head" is used metaphorically to mean "l
  ritaʔuukuk                body         hand over is a transfer action, not rela
  riwiiʔaar                 body         This describes an action (clench, double
  riwiruu                   body         Describes shape (round, spherical), not 
  rutkariis                 body         This is an animal, not a body part.     
  ruurihiiraʔ               body         Describes location/direction, not relate
  ruuʔa                     body         Describes motion/direction, not related 
  ruuʔat                    body         hand over, pass over are transfer action
  sistuʔ                    body         back refers to returning to a starting p
  suhkataʔiituʔ             body         sole refers to a part of a moccasin, not
  suuhuriʔ                  body         Describes location/direction, not relate
  tahaari                   body         at the side of refers to spatial relatio
  tahaariwuh                body         side by side refers to spatial relation,
  tahik                     body         hit, strike is an action, even if using 
  taraa                     body         side by side refers to spatial relation,
  taraʔuk                   body         This describes an action (pick, pluck), 
  tariihwarik               body         This describes an action (sew, stitch), 
  tawatur                   body         This describes spatial relationships (be
  taʔat                     body         This describes a verb of motion (climb),
  tiirahk                   body         This describes spatial relationships (ar
  tiraaha                   body         'Side' here refers to the side of an obj
  tiraahawi-                body         'Side' here refers to the side of an obj
  uhuriiwaawarik            body         These are verbs of motion/state (blown a
  ukaawiʔat                 body         This describes a verb of motion (swing, 
  ukac                      body         These are actions/states (tear, break), 
  ukatk                     body         These are actions (cut, sever, tear), no
  uktata-                   body         'Foot' here refers to the base of an obj
  uktataka-                 body         'Foot' here refers to the base of an obj
  uktatakat                 body         'Foot' here refers to the base of an obj
  uuh/uh                    body         'Hand to' is a verb of transfer, not ref
  uukata                    body         'Side' here refers to a spatial location
  uukata-                   body         'Side' here refers to a spatial location
  uukickata-                body         'Side' here refers to a spatial location
  uukickatahaahiriʔ         body         'Side' here refers to a spatial location
  waakaraʔuk                body         This describes actions related to plants
  waasar                    body         These are verbs of position/state (stick
  wakuhtaʔu                 body         'Tongue' is used metaphorically ('sharp 
  wakuruuwaawaktiik/tik-    body         The definition describes an act of commu
  wiirahak                  body         The definition describes general actions
  wiiwarii                  body         The definition describes general movemen
  wiiwarii                  body         The definition describes a general movem
  wiruuhak                  body         The definition describes general actions
  wiʔuu                     body         The word 'face' is used as a verb of ori
  Akaarickariituʔ           celestial    The 'Sun Dance' is a ceremony or event, 
  Kicpiirahaatus            celestial    The definition 'Beaver Creek' refers to 
  Kicuuwiicaku              celestial    The definition 'Spring On The Bank' refe
  Kisawaaks                 celestial    The definition 'Christmas Day' refers to
  Paa Hiihwaakaruks         celestial    The definition 'May; April' refers to mo
  Paahutawiʔuʔ              celestial    The definition 'March' refers to a month
  Paahuuwaturikat           celestial    The definition 'April; February' refers 
  Piiraʔuʔ Rarahkaataʔiispu celestial    The definition 'September' refers to a m
  Tawaruukucuuʔ             celestial    The 'Doctors' Dance' is an event or cere
  Tuhaawit                  celestial    The definition 'southern Pawnee bands' r
  aahwirik                  celestial    The definition 'lose one's tooth' refers
  aciksawiritaar            celestial    The definition 'feel warm, hot all over,
  apitaarahak               celestial    This describes a general motion, not a c
  ariikicparik              celestial    This describes a physical action, not a 
  aspit                     celestial    These are types of animals (frogs), not 
  astaaruukita              celestial    This describes a body part and spatial r
  ati                       celestial    This describes a bodily function, not a 
  atiraʔ                    celestial    These are kinship terms, not celestial c
  awarii                    celestial    This is a verb of motion, not a celestia
  awaʔa                     celestial    These are verbs of motion, not celestial
  awiʔiikiwatak             celestial    These describe states of being/actions, 
  ckaʔuʔ                    celestial    Face is a body part, not a celestial con
  ckirihkaapiraat           celestial    Wolf is an animal, not a celestial conce
  haapiʔuuhak               celestial    Tree is a plant, and falling is a motion
  haarutpahat               celestial    Grass is a plant, not a celestial concep
  haawatiihus               celestial    These describe objects or forms, not cel
  haturaahpiraarik          celestial    The definition describes a crooked road/
  hawaastatkiicuʔ           celestial    The definition is about chewing gum, whi
  hawiʔuuhak                celestial    The definition describes falling into wa
  hiihpahat                 celestial    The definition is about native grass, wh
  huraahata                 celestial    The definition describes a hole in the g
  huraahatawiʔuʔ            celestial    The definition describes a hole in the g
  huukitahaawarii           celestial    The word describes an action (ice-skate)
  huurik                    celestial    The definition describes getting burned 
  huuriktik                 celestial    The definition describes warming or heat
  icaʔis                    celestial    Refers to managing an earthly fire, not 
  iisat                     celestial    Describes general disappearance over a t
  iksapitaarahak            celestial    Refers to operating an appliance, not ce
  ikstaawaasit              celestial    Refers to a body part's temperature, not
  iripiitik                 celestial    Describes a physical action, not celesti
  iriwiraahak               celestial    Describes a physical action/event, not c
  iriwiraarahak             celestial    Describes a physical action, not celesti
  iriwirik                  celestial    Describes a physical action/event, not c
  itkaahkakus               celestial    Refers to an earthly fire for cooking, n
  itkaahkakuusk             celestial    Refers to an earthly fire for cooking, n
  itkasitik                 celestial    Refers to a human physiological state, n
  kaacatk                   celestial    Refers to an earthly fire for cooking, n
  kaacatk                   celestial    Refers to an earthly fire for cooking, n
  kaahuraaruu               celestial    Refers to terrestrial geography (landsca
  kaaripiikacaciks          celestial    Refers to a specific plant name, not cel
  kahuukiicuʔ               celestial    Ice cream is a food item, not related to
  karaarukuk                celestial    Belch/burp are bodily functions, not rel
  kataarahkaaʔa             celestial    Grass sprouting is a botanical process, 
  kataawaruucaku            celestial    A horn/bugle is a musical instrument, no
  katahkaaʔ                 celestial    A tribe/person is not related to celesti
  katahkawiiʔat             celestial    Verbs of motion/posture are not related 
  katapakta/taa             celestial    Breaking wind/farting is a bodily functi
  katuuraktaakaa            celestial    A snow goose is an animal (bird). The pr
  kicaahkatakus             celestial    A 'spring' (season or water source) is n
  kicaharaʔuk               celestial    Sweetening a liquid is a food preparatio
  kiciiwakta/taa            celestial    Squeaking/creaking sounds are not relate
  kickaruus                 celestial    Being limp or devoid of strength describ
  kickataʔa                 celestial    Water boiling is a physical process, not
  kickikarihiitk            celestial    Cooling a liquid is a temperature change
  kickikarihik              celestial    A liquid being cool is a temperature sta
  kickikarik                celestial    A liquid cooling is a temperature change
  kicpariitaraʔuk           celestial    Warming/heating water is a temperature c
  kicpiiraaruʔ              celestial    Water seepage or a water spring is a geo
  kictahiis                 celestial    The main meaning is about water being dr
  kictuuksuʔ                celestial    Cold, spring, or well water are not cele
  kiiraasit                 celestial    Frozen water or ice are states of water,
  kiiraasitaar              celestial    Water freezing or becoming icy are state
  kiiraraasiituʔ            celestial    Cold or chilled water is not a celestial
  kiiraritaʔu               celestial    Hot liquid or hot water is not a celesti
  kiiraritaʔuʔ              celestial    Hot liquid or hot water is not a celesti
  kiiwaakstaakaa            celestial    A goose is an animal, not celestial.    
  kikarihik                 celestial    Being cool refers to temperature, not a 
  kikarihitk                celestial    Cooling off refers to temperature, not a
  kikarik                   celestial    Cooling off refers to temperature, not a
  kiraawuh                  celestial    Spilling a liquid is an action, not cele
  kirihpaapaapic            celestial    A firefly or lightning bug is an insect,
  kiripaapaapic             celestial    A firefly or lightning bug is an insect,
  kirir                     celestial    Shaking or trembling refers to a physica
  kituks                    celestial    A beaver is an animal, not celestial.   
  kucpaarika                celestial    A tea kettle or hot water pot is an obje
  kuuctakaahak              celestial    Falling unconscious is a human state, no
  paa                       celestial    Being a month refers to a unit of time, 
  parustaakaa               celestial    A rabbit or jackrabbit is an animal, not
  piraarik                  celestial    The definition describes a physical stat
  pirawiitik                celestial    The definition describes a physical acti
  piraʔa                    celestial    The definition describes a physical acti
  raakaaruhkucuuʔ           celestial    The definition describes a 'meal' or 'di
  raarapitaarahak           celestial    'Wind' in this context refers to winding
  raaripakusuʔ              celestial    The definition describes a person's role
  rarariiruku               celestial    The definition describes an object ('fla
  raritaraʔuk               celestial    The definition describes an action ('hea
  raritaʔu                  celestial    The definition describes the temperature
  rihaks                    celestial    Describes a physical state (thick, gelle
  rihaksit                  celestial    Describes a physical state (gelled, thic
  riickaawis                celestial    Refers to a food item, not a celestial c
  ritpaar                   celestial    Refers to burning coals and heat, not a 
  riwiiʔaar                 celestial    Describes an action or physical state, n
  ruuskiriʔis               celestial    Refers to a type of squash (food), not a
  taharaʔuk                 celestial    The definition refers to flavoring ('sea
  tahataʔu                  celestial    The definition describes taste qualities
  takaahak                  celestial    The definition describes a physical acti
  takaaʔa                   celestial    The definition describes a state of exha
  taraasihaʔuk              celestial    Freezing is a weather phenomenon, not a 
  tariitkahki               celestial    The definition describes a type of food,
  taʔu                      celestial    The definition describes taste qualities
  uhuuririkisat             celestial    The definition describes a physical acti
  uhuuwi-                   celestial    The definition describes a physical acti
  uhuuwiʔat                 celestial    The definition describes a physical acti
  ukuk                      celestial    The definition describes a physical acti
  usaahuhwica               celestial    Snowfall is a weather phenomenon, not a 
  usaahuuruʔ                celestial    Falling snow is a weather phenomenon, no
  usaaʔa                    celestial    Snow is a weather phenomenon, not a cele
  uukaahkat                 celestial    The definition refers to a location, not
  uʔa                       celestial    Fly refers to general motion through air
  wariihaʔuk                celestial    Warm describes a temperature state, not 
  wariit                    celestial    Warm describes a temperature state, not 
  wariitaʔu                 celestial    Warm describes a temperature state, not 
  wihak                     celestial    Fall over describes a general physical a
  a                         clothing     Decorated and tattooed are general conce
  akahpicistaʔuk            clothing     Paint a house/building is unrelated to c
  akarawiisuʔ, akarawis     clothing     Tipi/tent covers are for shelter, not cl
  arikawuh                  clothing     Braid refers to an action on hair, which
  asaarahkata               clothing     Refers to the color of a horse, not clot
  asaawitaksuʔ              clothing     A horse blanket is a covering for an ani
  asataatkatakusuʔ          clothing     A saddle blanket is for a saddle/horse, 
  askawarik                 clothing     Trap, snare are devices for catching ani
  awaka-                    clothing     This describes a shape or mark, not an i
  awuh                      clothing     This is a verb describing an action (str
  awuh                      clothing     This is a verb related to drawing or pai
  cawihaaruʔ                clothing     A pillow or cushion is a household item,
  cihitkaʔuktuʔ             clothing     A mattress is bedding, not clothing.    
  ckariitki                 clothing     Hide, skin, or pelt refers to a raw mate
  ckuusuʔ                   clothing     This refers to a general covering or mat
  cuskatit                  clothing     This describes a type of horse, an anima
  haakaawatataʔuʔ           clothing     While 'cap' can mean headwear, the prima
  haaskiihkasa              clothing     This is a verb describing a state or pro
  haaskiihkaʔuuc/uc-        clothing     This is a verb describing an action (lac
  haaskiiraʔuk              clothing     This is a verb describing an action (bra
  haaskitawaawuh            clothing     This is a verb describing an action rela
  haastawikuusk             clothing     This is a verb describing an action (tyi
  hasickariituʔ             clothing     A leather strap or hide rope is a materi
  haskiicuʔ                 clothing     String, cord, or thong are materials or 
  haskiiruʔ                 clothing     These are materials or components (braid
  haspaaksuʔ                clothing     A head strap for carrying a bundle is a 
  haspacki                  clothing     Silk or satin are types of fabric/materi
  hastaakis                 clothing     A leather thong or string is a material 
  hihiituʔ                  clothing     A mat is typically a floor covering or s
  hiitpiriik                clothing     This is a verb describing an action (pul
  icawatkaʔiir              clothing     This is a general verb describing an act
  ickariihuwaah             clothing     This is a verb describing an action (ski
  ickariitaruhaʔuk          clothing     This is a verb describing an action (tan
  ikiraarahak               clothing     This is a general verb describing an act
  ikiraat                   clothing     This is a general verb describing an act
  ikiriwiihaʔuk             clothing     This is a general verb describing an act
  irisirik                  clothing     This is a general verb describing an act
  iriwahik                  clothing     This is a general verb describing an act
  iriwakus                  clothing     This describes a general state (being sp
  kaarik                    clothing     This is a general verb of position, not 
  kakus                     clothing     This is a general verb of position, not 
  karaʔuk                   clothing     This is a general verb of creation, not 
  kataʔuuc/uc-              clothing     While 'line with' can apply to clothing,
  kawiitik                  clothing     This is a general verb of sitting, not r
  kiictawakta/taa           clothing     A bell is not inherently clothing, even 
  kiictawaktaarik           clothing     Ringing a bell is an action related to a
  kiiriictaakaa             clothing     This describes a type of horse, not clot
  kipaar                    clothing     Describes a state (wetness), not an item
  kiraar                    clothing     Describes a color attribute, not an item
  kiwat                     clothing     Describes an action (to take apart), not
  kiwatak                   clothing     Describes a process of color change, not
  kuckictahkata             clothing     Describes a substance (paint/pigment), n
  kukatit                   clothing     Describes a type of horse, not clothing.
  kusaraat                  clothing     Describes an action (to rub), not an ite
  paac                      clothing     Describes types of insects, not clothing
  paahukasa                 clothing     Describes a hairstyle, not an item of cl
  paaraar                   clothing     Describes an action (to hide/escape), no
  paaraar                   clothing     Describes an action (to hide/conceal one
  pahaatuʔ                  clothing     Describes a substance (paint/pigment), n
  pahukstaciituʔ            clothing     Describes a mat, not an item of clothing
  pakskaa                   clothing     Describes the action of wearing, not an 
  pakskawarik               clothing     Describes the action of putting on an it
  pakspaahukasa             clothing     Describes a hairstyle, not an item of cl
  pakspasaasi               clothing     Describes a hairstyle, not an item of cl
  piciistaʔuk               clothing     Describes an action (to smear/apply), no
  pira-                     clothing     Describes actions (raking, sweeping, scr
  pirusas-i                 clothing     Describes actions (to whip, thrash, stra
